datetime,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-11-07 16:00:00,21.8,6.8,38.0,0.0,,300.0,15.0,,1018.0,,2.0
2024-11-07 17:00:00,21.8,6.8,38.0,0.0,,300.0,15.0,,1017.0,,2.0
2024-11-07 18:00:00,21.8,5.6,35.0,0.0,,309.0,11.0,,1018.0,,2.0
2024-11-07 19:00:00,21.8,5.2,34.0,0.0,,314.0,7.0,,1018.0,,3.0
2024-11-07 20:00:00,20.8,4.3,34.0,0.0,,314.0,22.3,,1018.0,,1.0
2024-11-07 21:00:00,18.8,4.5,39.0,0.0,,20.0,9.0,,1018.0,,1.0
2024-11-07 22:00:00,17.8,4.0,40.0,0.0,,343.0,7.0,,1019.0,,1.0
2024-11-07 23:00:00,16.8,4.5,44.0,0.0,,330.0,7.0,,1020.0,,1.0
2024-11-08 00:00:00,15.8,4.2,46.0,0.0,,339.0,11.0,,1020.0,,1.0
2024-11-08 01:00:00,14.8,3.3,46.0,0.0,,331.0,7.0,,1021.0,,1.0
2024-11-08 02:00:00,13.8,3.3,49.0,0.0,,334.0,15.8,,1020.0,,1.0
2024-11-08 03:00:00,12.8,2.3,49.0,0.0,,335.0,7.0,,1020.0,,1.0
2024-11-08 04:00:00,12.8,2.9,51.0,0.0,,337.0,6.0,,1020.0,,1.0
2024-11-08 05:00:00,11.8,1.7,50.0,0.0,,338.0,7.0,,1019.0,,1.0
2024-11-08 06:00:00,11.8,2.8,54.0,0.0,,337.0,9.7,,1019.0,,1.0
2024-11-08 07:00:00,10.8,3.1,59.0,0.0,,310.0,7.0,,1019.0,,1.0
2024-11-08 08:00:00,10.8,3.6,61.0,0.0,,270.0,7.0,,1018.0,,1.0
2024-11-08 09:00:00,10.8,3.6,61.0,0.0,,250.0,6.0,,1019.0,,1.0
2024-11-08 10:00:00,10.8,3.6,61.0,0.0,,246.0,11.2,,1018.0,,1.0
2024-11-08 11:00:00,10.8,4.0,63.0,0.0,,238.0,10.1,,1018.0,,1.0
2024-11-08 12:00:00,11.8,4.5,61.0,0.0,,259.0,9.7,,1018.0,,1.0
2024-11-08 13:00:00,11.8,3.0,55.0,0.0,,240.0,7.0,,1018.0,,1.0
2024-11-08 14:00:00,13.8,2.1,45.0,0.0,,254.0,9.0,,1017.0,,1.0
2024-11-08 15:00:00,15.8,1.1,37.0,0.0,,256.0,9.0,,1015.0,,1.0
2024-11-08 16:00:00,17.8,-0.0,30.0,0.0,,257.0,7.0,,1014.0,,1.0
2024-11-08 17:00:00,18.8,-2.2,24.0,0.0,,260.0,13.0,,1012.0,,1.0
2024-11-08 18:00:00,19.8,-2.0,23.0,0.0,,268.0,9.0,,1011.0,,1.0
2024-11-08 19:00:00,19.8,-3.2,21.0,0.0,,270.0,13.0,,1011.0,,1.0
2024-11-08 20:00:00,18.8,-1.7,25.0,0.0,,270.0,15.0,,1011.0,,1.0
2024-11-08 21:00:00,17.8,-0.5,29.0,0.0,,281.0,9.0,,1011.0,,1.0
2024-11-08 22:00:00,17.8,-0.0,30.0,0.0,,270.0,13.0,,1012.0,,1.0
2024-11-08 23:00:00,16.8,0.4,33.0,0.0,,287.0,11.0,,1013.0,,1.0
2024-11-09 00:00:00,15.8,0.7,36.0,0.0,,302.0,16.9,,1015.0,,1.0
2024-11-09 01:00:00,13.8,-0.7,37.0,0.0,,335.0,24.5,,1016.0,,3.0
2024-11-09 02:00:00,13.8,-1.8,34.0,0.0,,310.0,13.0,,1016.0,,3.0
2024-11-09 03:00:00,12.8,-1.6,37.0,0.0,,300.0,17.0,,1017.0,,2.0
2024-11-09 04:00:00,12.8,-0.1,41.0,0.0,,312.0,7.0,,1018.0,,1.0
2024-11-09 05:00:00,11.8,-0.4,43.0,0.0,,324.0,23.4,,1019.0,,1.0
2024-11-09 06:00:00,9.8,-5.7,33.0,0.0,,310.0,20.0,,1021.0,,5.0
2024-11-09 07:00:00,8.8,-6.6,33.0,0.0,,340.0,6.0,,1022.0,,1.0
2024-11-09 08:00:00,7.8,-7.9,32.0,0.0,,336.0,7.0,,1023.0,,1.0
2024-11-09 09:00:00,6.8,-6.9,37.0,0.0,,341.0,19.8,,1024.0,,1.0
2024-11-09 10:00:00,6.8,-5.9,40.0,0.0,,338.0,7.0,,1025.0,,1.0
2024-11-09 11:00:00,5.8,-6.5,41.0,0.0,,335.0,6.0,,1026.0,,1.0
2024-11-09 12:00:00,5.8,-5.8,43.0,0.0,,328.0,9.0,,1028.0,,1.0
2024-11-09 13:00:00,6.8,-5.9,40.0,0.0,,334.0,15.5,,1027.0,,1.0
2024-11-09 14:00:00,7.8,-7.1,34.0,0.0,,347.0,19.4,,1028.0,,1.0
2024-11-09 15:00:00,8.8,-7.8,30.0,0.0,,349.0,7.0,,1028.0,,1.0
2024-11-09 16:00:00,10.8,-7.5,27.0,0.0,,348.0,9.0,,1027.0,,5.0
2024-11-09 17:00:00,10.8,-9.5,23.0,0.0,,290.0,13.0,,1027.0,,5.0
2024-11-09 18:00:00,11.8,-9.8,21.0,0.0,,300.0,15.0,,1027.0,,5.0
2024-11-09 19:00:00,11.8,-9.8,21.0,0.0,,330.0,6.0,,1027.0,,1.0
2024-11-09 20:00:00,11.8,-9.8,21.0,0.0,,325.0,6.0,,1028.0,,1.0
2024-11-09 21:00:00,11.8,-9.3,22.0,0.0,,300.0,6.0,,1028.0,,1.0
2024-11-09 22:00:00,11.8,-9.3,22.0,0.0,,312.0,9.0,,1029.0,,1.0
2024-11-09 23:00:00,10.8,-8.0,26.0,0.0,,315.0,9.0,,1030.0,,1.0
2024-11-10 00:00:00,10.8,-8.0,26.0,0.0,,270.0,6.0,,1030.0,,1.0
2024-11-10 01:00:00,9.8,-7.9,28.0,0.0,,338.0,11.9,,1030.0,,1.0
